artist,genre,platform,country,streams,revenue_usd,followers,date
"Luna Wave",Hip-Hop,YouTube,Nigeria,34264,1594.79,243824,2023-07-10
"Drift King",Pop,"Apple Music",UK,359469,3387.15,323959,2024-01-27
"Drift King",Afrobeats,soundcloud,Nigeria,782895,2793.35,29645,2022-03-28
EchoMind,Drill,"Apple Music",USA,175077,2209.68,58003,2024-07-16
"Soul Syntax","Lo fi",YouTube,UK,332171,295.99,463172,2023-09-08
"Nova Beats",Drill,"Apple Music",USA,386224,3750.27,342512,2022-10-01
"Nova Beats",Hip-Hop,Audiomack,USA,219074,2785.97,17049,2022-06-01
"Soul Syntax",Lo-fi,Audiomack,"South Africa",320051,3548.9,64648,2022-09-02
"Urban Flow",Afrobeats,YouTube,"South Africa",416155,521.22,468360,2024-08-07
EchoMind,Afrobeats,"Apple Music",Nigeria,444084,2067.44,167136,2022-02-19
"Nova Beats",R&B,"Apple Music",USA,312511,3709.54,138830,2023-02-10
"Nova Beats","Lo fi",Spotify,USA,599750,4896.94,13552,2024-03-29
"Luna Wave","Lo fi",audiomack,USA,392469,3246.94,7857,2023-05-10
"Pulse Rider",Pop,YouTube,Nigeria,361224,2909.57,130569,2023-07-26
"Luna Wave",R&B,audiomack,USA,661421,457.23,87716,2023-07-31
EchoMind,Afrobeats,SoundCloud,USA,690167,4020.68,81791,2023-05-31
"Soul Syntax",Afrobeats,"Apple Music",USA,636597,355.78,404355,2022-06-17
"Nova Beats",Afrobeats,SoundCloud,USA,177819,749.81,362105,2024-09-10
"Velvet Tone",Drill,SoundCloud,Canada,856444,2213.85,263531,2022-09-28
"Luna Wave",Afrobeats,"apple music","South Africa",613429,4275.13,252314,2024-05-08
"Urban Flow",Drill,YouTube,"South Africa",346314,3683.39,358270,2023-05-10
Skyline,R&B,"Apple Music",Nigeria,743726,3997.23,260747,2023-10-15
Skyline,Hip-Hop,Audiomack,"South Africa",254164,768.27,286904,2023-05-06
"Nova Beats",R&B,YouTube,USA,868983,325.44,353726,2022-11-26
"Drift King","Lo fi","Apple Music","South Africa",804120,2145.59,367487,2023-07-20
Skyline,Hip-Hop,Audiomack,"South Africa",805901,1891.83,467001,2023-05-16
"Drift King",Drill,Audiomack,Canada,384503,2104.14,296309,2022-11-02
"Luna Wave",R&B,Audiomack,Nigeria,300595,3371.81,392170,2022-10-29
"Velvet Tone",R&B,"Apple Music","South Africa",179230,3790.48,186048,2023-08-06
"Urban Flow",Hip-Hop,SoundCloud,Nigeria,57898,4261.16,154833,2024-02-28
"Soul Syntax",Drill,Audiomack,Canada,937817,341.98,336843,2022-12-15
"Velvet Tone",Hip-Hop,Audiomack,Canada,602944,725.99,211301,2022-01-30
"Urban Flow",Lo-fi,"Apple Music","South Africa",33632,3459.2,244964,2023-10-28
"Soul Syntax",R&B,Audiomack,Canada,359120,2593.8,268897,2023-09-01
"Luna Wave",Afrobeats,soundcloud,UK,818115,3045.02,171526,2022-03-30
"Soul Syntax",R&B,SoundCloud,UK,375665,2798.41,499072,2023-10-30
"Neon Nights",R&B,"apple music",Nigeria,911489,2486.62,38158,2023-08-17
"Velvet Tone",Afrobeats,audiomack,Canada,238166,3596.58,378657,2023-04-02
"Neon Nights",R&B,SoundCloud,Canada,939181,4803.49,50409,2022-03-30
"Nova Beats",R&B,Spotify,UK,619338,3151.25,177705,2023-03-26
EchoMind,Lo-fi,Spotify,"South Africa",992882,3606.47,76150,2022-06-16
"Pulse Rider",Drill,YouTube,UK,354424,3049.26,207056,2022-05-22
EchoMind,Pop,SoundCloud,Nigeria,154142,4403.66,107721,2023-10-22
"Pulse Rider",Drill,youtube,Nigeria,154859,3129.91,166890,2024-02-24
"Soul Syntax",Lo-fi,SoundCloud,Canada,672261,482.52,97844,2022-09-06
EchoMind,R&B,SoundCloud,"South Africa",323616,2954.84,459513,2022-07-02
"Luna Wave","Lo fi",Spotify,"South Africa",277286,1778.33,407752,2022-05-23
"Velvet Tone",Lo-fi,"Apple Music",Canada,786194,3593.66,186352,2023-06-14
"Neon Nights",Afrobeats,SoundCloud,Canada,780846,1458.39,497786,2023-12-28
"Urban Flow",R&B,Spotify,USA,597716,3683.1,209392,2023-12-25
"Neon Nights",Lo-fi,Audiomack,UK,512806,3388.24,333982,2022-09-25
EchoMind,Afrobeats,Spotify,USA,599001,1819.13,420204,2023-11-05
"Drift King",R&B,SoundCloud,UK,100849,1766.83,445823,2023-05-13
"Nova Beats",Lo-fi,YouTube,Nigeria,741280,355.49,113557,2023-12-15
"Drift King",Pop,SoundCloud,Nigeria,350484,1650.43,151803,2024-09-26
"Soul Syntax",R&B,Spotify,Canada,436312,1864.19,314240,2023-12-21
"Nova Beats",Afrobeats,YouTube,USA,713874,2652.3,295263,2022-10-06
"Soul Syntax",Pop,"Apple Music",Canada,360241,4982.16,82283,2022-05-17
"Urban Flow",Afrobeats,Spotify,Canada,443271,2698.63,130979,2022-10-30
"Drift King",R&B,audiomack,Nigeria,695461,436.79,377526,2024-02-29
"Soul Syntax",Lo-fi,audiomack,Nigeria,456510,2544.42,311794,2022-08-16
"Urban Flow",Lo-fi,Audiomack,Canada,755912,2518.51,299943,2023-03-23
"Pulse Rider",Hip-Hop,youtube,Canada,259388,110.99,198992,2023-03-15
"Luna Wave",Hip-Hop,SoundCloud,Nigeria,334923,4425.94,39467,2023-12-18
"Urban Flow",R&B,Audiomack,"South Africa",31934,1074.44,252483,2022-11-01
"Drift King",Hip-Hop,"Apple Music",UK,103563,4056.25,172781,2022-10-07
"Velvet Tone",Drill,SoundCloud,Canada,648830,2681.63,439632,2023-06-22
"Velvet Tone",R&B,YouTube,Canada,242554,3483.44,327374,2022-11-24
"Nova Beats",R&B,SoundCloud,USA,33253,1229.71,183938,2022-10-23
"Luna Wave",R&B,Spotify,UK,628447,2552.3,280525,2024-09-05
"Soul Syntax",R&B,Spotify,USA,918204,4937.87,438813,2022-05-10
"Velvet Tone",Pop,"Apple Music",UK,76424,3725.79,210769,2022-06-29
"Neon Nights",Afrobeats,Audiomack,UK,873592,2849.07,271395,2024-08-23
"Luna Wave",Afrobeats,YouTube,Canada,213791,147.11,495936,2023-09-06
Skyline,R&B,YouTube,USA,29405,502.27,291613,2023-04-09
"Nova Beats",Afrobeats,soundcloud,"South Africa",227711,2065.31,20122,2024-09-17
"Neon Nights",Pop,SoundCloud,Nigeria,572693,2043.14,183825,2022-04-07
"Urban Flow",Hip-Hop,Spotify,"South Africa",38536,1095.07,51928,2022-10-28
"Neon Nights",Afrobeats,Spotify,Nigeria,914253,2947.09,218879,2022-09-21
EchoMind,Hip-Hop,"apple music",Canada,580004,2321.87,329859,2024-09-07
"Luna Wave",Hip-Hop,Audiomack,Nigeria,812670,528.41,353375,2023-01-09
"Urban Flow",R&B,Spotify,Nigeria,472569,560.87,70492,2022-09-17
"Neon Nights",Drill,YouTube,USA,997411,144.08,136164,2022-06-14
"Soul Syntax",Drill,"Apple Music",UK,162710,574.66,342735,2023-05-20
"Pulse Rider",Pop,Spotify,Nigeria,898862,310.23,91707,2023-02-02
"Velvet Tone",Lo-fi,Spotify,UK,822836,2871.64,481387,2022-10-15
"Velvet Tone",Drill,SoundCloud,"South Africa",707075,4496.97,63451,2023-02-19
"Nova Beats",Pop,"Apple Music",USA,495155,3658.39,413901,2023-09-29
"Pulse Rider",Hip-Hop,Spotify,"South Africa",679781,3063.95,105148,2024-04-08
"Velvet Tone",Hip-Hop,Spotify,Nigeria,96648,1606.45,131029,2023-02-10
"Nova Beats",R&B,Spotify,USA,847933,1748.78,72126,2023-05-13
"Pulse Rider",R&B,SoundCloud,USA,658709,4366.18,325817,2022-11-15
"Soul Syntax",R&B,youtube,Canada,354258,2559.36,161623,2023-09-28
Skyline,Lo-fi,"apple music",USA,167585,586.18,452182,2022-11-23
"Urban Flow",Drill,"Apple Music","South Africa",834771,3152.6,482878,2023-06-25
EchoMind,R&B,Audiomack,Canada,547015,3933.62,34753,2024-01-25
"Urban Flow",Pop,Audiomack,Nigeria,142010,3964.49,364889,2023-12-16
"Urban Flow",Hip-Hop,YouTube,Canada,759517,2589.11,210783,2024-07-03
"Drift King",R&B,SoundCloud,USA,264028,3480.53,244876,2024-09-14
"Soul Syntax",R&B,"Apple Music",Nigeria,591852,4934.18,398356,2024-06-26
EchoMind,Afrobeats,"Apple Music",Nigeria,333186,4803.85,48299,2023-09-07
"Drift King",Pop,YouTube,Nigeria,961609,3838.1,462731,2023-05-23
"Nova Beats","Lo fi",Audiomack,USA,637165,992.72,116623,2023-05-18
"Drift King",Afrobeats,youtube,Canada,639552,1288.8,91277,2023-05-01
"Pulse Rider",Lo-fi,"apple music","South Africa",757817,549.39,211077,2022-11-17
